"Move In","In Time","Move Out","Out Time","Gender","Age"
"1","2025-06-08 14:24","","","Male","(0-2)"
"2","2025-06-08 14:24","","","Male","(0-2)"
"3","2025-06-08 14:24","","","Male","(0-2)"
"4","2025-06-08 14:24","","","Male","(0-2)"
"5","2025-06-08 14:24","","","Male","(0-2)"
"6","2025-06-08 14:24","","","Male","(0-2)"
"7","2025-06-08 14:24","","","Male","(0-2)"
"8","2025-06-08 14:24","","","Male","(0-2)"
"9","2025-06-08 14:24","","","Male","(0-2)"
"10","2025-06-08 14:24","","","Male","(0-2)"
"11","2025-06-08 14:24","","","Male","(0-2)"
"12","2025-06-08 14:24","","","Male","(0-2)"
"13","2025-06-08 14:25","","","Male","(0-2)"
"14","2025-06-08 14:25","","","Male","(0-2)"
"15","2025-06-08 14:25","","","Male","(0-2)"
"16","2025-06-08 14:25","","","Male","(0-2)"
"17","2025-06-08 14:25","","","Male","(0-2)"
"18","2025-06-08 14:25","","","Male","(0-2)"
"19","2025-06-08 14:25","","","Male","(0-2)"
"20","2025-06-08 14:25","","","Male","(0-2)"
"21","2025-06-08 14:25","","","Male","(0-2)"
"22","2025-06-08 14:25","","","Male","(0-2)"
"23","2025-06-08 14:25","","","Male","(0-2)"
"24","2025-06-08 14:25","","","Male","(0-2)"
"25","2025-06-08 14:25","","","Male","(0-2)"
"26","2025-06-08 14:25","","","Male","(0-2)"
"27","2025-06-08 14:25","","","Male","(0-2)"
"28","2025-06-08 14:25","","","Male","(0-2)"
"29","2025-06-08 14:25","","","Male","(0-2)"
"30","2025-06-08 14:25","","","Male","(0-2)"
"31","2025-06-08 14:25","","","Male","(0-2)"
"32","2025-06-08 14:25","","","Male","(0-2)"
"33","2025-06-08 14:25","","","Male","(0-2)"
"34","2025-06-08 14:25","","","Male","(0-2)"
